date,state,shape
1999-10-11,OR,light
1999-10-11,NY,oval
1999-10-11,NY,oval
1999-10-11,NY,oval
1999-10-11,NY,oval
1999-10-11,MO,other
1999-10-11,NV,cigar
1999-10-11,OR,triangle
1999-10-11,KS,light
1999-10-11,TX,light
1999-10-11,AR,light
1999-10-11,IL,disk
2000-10-11,NY,light
2000-10-11,CA,light
2000-10-11,CA,light
2001-10-11,WI,light
2001-10-11,AK,other
2001-10-11,CO,light
2001-10-11,MS,teardrop
2001-10-11,CA,triangle
2001-10-11,OH,teardrop
2002-10-11,MO,fireball
2002-10-11,NV,sphere
2002-10-11,MA,cylinder
2002-10-11,TX,fireball
2003-10-11,CA,NA
2003-10-11,MN,circle
2003-10-11,NY,egg
2003-10-11,CA,sphere
2003-10-11,MI,circle
2003-10-11,CA,light
2003-10-11,CO,unknown
2003-10-11,IN,disk
2003-10-11,MO,chevron
2004-10-11,HI,triangle
2004-10-11,CA,rectangle
2004-10-11,OR,light
2004-10-11,NJ,other
2004-10-11,CA,light
2004-10-11,CA,formation
2004-10-11,CA,circle
2004-10-11,CA,rectangle
2004-10-11,TX,fireball
2004-10-11,FL,formation
2004-10-11,NY,light
2005-10-11,FL,light
2005-10-11,MN,circle
2005-10-11,UT,light
2005-10-11,AZ,light
2005-10-11,AZ,formation
2005-10-11,AZ,light
2005-10-11,AZ,triangle
2005-10-11,AL,light
2005-10-11,NJ,oval
2005-10-11,IA,light
2006-10-11,TN,disk
2006-10-11,WA,unknown
2006-10-11,CA,fireball
2006-10-11,MN,light
2006-10-11,FL,diamond
2006-10-11,FL,light
2006-10-11,CA,circle
2006-10-11,OK,light
2006-10-11,TX,triangle
2006-10-12,NY,oval
2007-10-11,KY,oval
2007-10-11,OR,cylinder
2007-10-11,OR,circle
2007-10-11,WA,triangle
2007-10-11,SC,light
2007-10-11,AL,disk
2008-10-11,TX,disk
2008-10-11,CA,light
2008-10-11,NC,sphere
2008-10-11,CT,circle
2008-10-11,MD,sphere
2008-10-11,CA,light
2008-10-11,FL,triangle
2008-10-11,TX,light
2008-10-11,NM,fireball
2008-10-11,CA,triangle
2009-10-11,NY,other
2009-10-11,MD,light
2009-10-11,MI,triangle
2009-10-11,AZ,egg
2009-10-11,KY,disk
2009-10-11,FL,oval
2009-10-11,RI,circle
2009-10-11,IN,flash
2009-10-11,WI,light
2010-10-11,CA,other
2010-10-11,NY,oval
2010-10-11,FL,sphere
2010-10-11,CA,changing
2010-10-11,MN,light
2010-10-11,CA,circle
2010-10-11,CA,triangle
2010-10-11,CA,other
2011-10-11,IL,chevron
2011-10-11,NV,other
2011-10-11,UT,light
2011-10-11,IA,light
2011-10-11,MA,circle
2011-10-11,CT,NA
2011-10-11,NC,circle
2011-10-11,KY,unknown
2012-10-11,MA,unknown
2012-10-11,NJ,sphere
2012-10-11,MA,light
2012-10-11,IN,cigar
2012-10-11,MD,light
2012-10-11,PA,fireball
2012-10-11,NY,circle
2012-10-11,PA,diamond
2012-10-11,NM,fireball
2012-10-11,WA,triangle
2012-10-11,PA,diamond
2012-10-11,AZ,sphere
2012-10-11,IL,circle
2013-10-11,MI,chevron
2013-10-11,IA,circle
2013-10-11,FL,light
2013-10-11,MI,fireball
2013-10-11,KS,unknown
2013-10-11,VT,light
2013-10-11,OH,circle
2013-10-11,OH,fireball
2013-10-11,FL,light
2013-10-11,OH,fireball
2013-10-11,KY,fireball
2013-10-11,MA,fireball
2013-10-11,GA,light
2013-10-11,OH,sphere
2013-10-11,NY,chevron
2013-10-11,FL,light
2013-10-11,FL,sphere
2013-10-11,WI,sphere
2013-10-11,IL,formation
2013-10-11,OH,fireball
2013-10-11,MI,fireball
1971-10-01,CA,disk
1972-10-01,KS,unknown
1972-10-01,TX,unknown
1972-10-01,TX,disk
1972-10-01,WA,rectangle
1973-10-01,IN,sphere
1973-10-01,VA,disk
1973-10-01,IN,light
1973-10-01,OR,cylinder
1973-10-01,NV,disk
1973-10-01,TN,oval
1973-10-01,OH,disk
